iter	Logloss
0	0.1121668382
1	0.01571647147
2	0.002996416609
3	0.0007771183708
4	0.0002679042948
5	0.0001402927628
6	7.344660013e-05
7	4.941135415e-05
8	3.265037381e-05
9	2.62378122e-05
10	1.914608165e-05
11	1.743071828e-05
12	1.596321401e-05
13	1.23643786e-05
14	1.009748094e-05
15	9.378678443e-06
16	8.745191021e-06
17	8.184458253e-06
18	7.172855533e-06
19	7.172855533e-06
20	7.172855533e-06
21	7.172855533e-06
22	7.172855533e-06
23	7.172855533e-06
24	7.172855533e-06
25	7.172855533e-06
26	7.172855533e-06
27	7.172855533e-06
28	7.172855533e-06
